Token,PNL,Volume traded,Total orders,Winning trades,Daily Sharpe ratio,Annualised Sharpe ratio,Drawdown
40,-6698.54999999993,400,201,0,-4.412705483368533,-70.04952790778522,-0.0
25270,-17.229999999999563,400,201,89,-0.09048717416479708,-1.4364393580862511,-1.2219502769547805
628,1092.8199999999997,400,201,200,1.7530306065644639,27.82849815392571,0.0
21252,205.46000000001368,400,201,197,1.5976793382512209,25.362373223033853,-0.029926335174953786
1250,1309.9800000000032,400,201,169,1.0325039033043817,16.39049133508125,-0.014979038526270281
2181,40483.900000001304,400,201,192,1.4834529806826826,23.549086011263295,-7.914498141263566
21508,4642.899999999994,400,201,200,2.0296969582687554,32.22044033042023,0.0
1185,-54380.59999999986,400,201,0,-7.147582747761026,-113.46435855498831,-0.0
100,-1332.899999999965,400,201,93,-0.4341400493507765,-6.891759628532778,-2.6067747573986004
20224,-1022.8999999999942,400,201,3,-1.6048247893440728,-25.47580374261622,-0.0
17903,201149.75,400,201,200,2.4371560276223483,38.68865253210479,0.0
18060,22295.850000000035,400,201,200,1.9641221130403854,31.179471934005324,0.0
395,-20758.600000000035,400,201,0,-7.1277399093697085,-113.14936326085387,-0.0
263,8739.049999999814,400,201,109,0.5887012732878074,9.345342993759662,-0.24214200542005762
1134,-1123.1100000000042,400,201,0,-4.340836027482239,-68.90863566496526,-0.0
17279,2206.3499999999913,400,201,200,2.3495217304199367,37.29750119179976,0.0
29452,-2886.5999999999767,400,201,0,-4.369458286205645,-69.36299993622374,-0.0
2144,-11646.000000000087,400,201,0,-9.926502360408367,-157.57833980601714,-0.0
5578,-8909.899999999965,400,201,100,-0.47185935641594334,-7.490535065253456,-2.8458080420956753
8124,41716.85000000009,400,201,200,2.9731638480776907,47.197512894368366,0.0
3608,10.159999999996217,314,158,86,0.1143677670928446,1.8155320183765402,-1.2917933130698946
20905,-11264.89999999982,400,201,0,-4.0756047476019805,-64.69821962609406,-0.0
6216,97.66000000002168,400,201,100,0.06499223945494666,1.0317198164816936,-0.877414738850468
8546,-600.0500000000466,400,201,58,-0.6336136255103181,-10.058304482413876,-18.39275362318846
12024,3138.6000000000204,400,201,200,1.5748259085103908,24.99958627283911,0.0
1508,-659.0000000000437,400,201,10,-1.4425623562634173,-22.89996747225817,-0.0
5407,-11121.500000000058,400,201,0,-3.5313106854445477,-56.05781925474786,-0.0
11491,-19091.800000000978,400,201,100,-0.5993835885088274,-9.514919490766976,-4.0818576571050365
11343,-7160.95000000007,400,201,28,-1.2022994522610648,-19.08591211267171,-260.45471014488083
4421,-1572.1999999999534,400,201,100,-0.26073550347661817,-4.139047800986092,-1.7113705262205388
25977,1943.4000000000087,400,201,200,2.000670162364379,31.759654230500175,0.0
17187,-3747.4500000000407,400,201,0,-7.688035374018304,-122.04377802191927,-0.0
